,fpc,0.x,0.y,1.x,1.y,2.x,2.y,3.x,3.y,4.x,4.y,5.x,5.y,6.x,6.y,7.x,7.y,8.x,8.y,9.x,9.y,10.x,10.y,11.x,11.y,12.x,12.y,13.x,13.y,14.x,14.y
122,605,376,208,360,234,320,229,296,272,272,304,392,240,424,208,392,176,352,346,336,346,280,373,368,378,376,346,432,373,360,368
123,610,376,208,352,240,320,234,288,277,272,304,392,240,424,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,368
124,615,376,208,352,240,320,234,288,282,272,309,392,245,432,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,368
125,620,376,208,352,240,320,240,296,282,272,314,384,245,432,208,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,368
126,625,368,213,352,240,320,240,296,288,272,314,384,245,424,213,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,368
127,630,368,213,352,240,320,240,296,288,280,320,384,245,424,213,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,368
128,635,368,213,352,245,320,240,296,288,280,320,384,245,424,213,392,181,352,341,336,341,280,368,368,378,376,341,432,373,360,368
129,640,368,213,352,245,320,240,296,288,280,320,384,245,424,213,392,181,352,341,336,341,280,373,368,378,376,341,432,373,360,368
130,645,368,213,352,245,320,245,304,293,288,320,384,245,424,208,392,181,352,346,336,346,280,368,368,378,376,346,432,373,360,368
131,650,368,213,352,245,320,245,304,298,288,325,384,245,424,208,384,176,360,346,336,341,280,368,368,378,376,346,432,373,360,368
132,655,368,213,352,245,320,245,304,298,280,341,384,245,424,202,384,176,352,346,336,346,280,373,368,378,376,346,440,373,360,368
133,660,368,208,352,245,320,245,304,304,272,352,384,245,424,202,384,176,352,346,336,346,280,373,376,384,376,346,440,373,360,368
134,665,368,208,352,245,320,245,304,304,272,352,384,245,424,202,384,176,360,346,336,346,280,373,368,378,376,346,440,373,368,368
