,fpc,0.x,0.y,1.x,1.y,2.x,2.y,3.x,3.y,4.x,4.y,5.x,5.y,6.x,6.y,7.x,7.y,8.x,8.y,9.x,9.y,10.x,10.y,11.x,11.y,12.x,12.y,13.x,13.y,14.x,14.y
94,465,360,149,360,176,328,176,312,154,328,133,392,176,392,218,400,261,360,245,344,245,336,293,336,336,376,245,376,293,376,341
95,470,360,149,360,176,328,176,312,154,328,133,392,176,392,218,400,261,360,245,344,245,336,298,344,341,376,245,376,298,376,341
96,475,360,149,360,176,328,176,312,154,328,133,392,176,392,218,400,261,360,245,344,245,336,298,336,341,376,245,376,298,376,341
97,480,360,149,360,176,328,176,312,154,336,133,392,176,392,218,400,261,360,250,344,245,336,298,336,394,376,250,376,304,376,352
98,485,360,149,360,176,328,176,312,154,336,133,392,176,392,218,400,261,360,250,344,250,336,298,336,394,376,250,376,309,376,352
99,490,360,149,360,176,328,176,312,154,336,133,392,176,392,218,400,261,360,245,344,245,336,298,336,394,376,245,376,304,376,346
100,495,336,208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,500,336,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,505,336,208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,510,336,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104,515,336,202,424,314,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,520,336,208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106,525,336,208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107,530,336,218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,535,336,218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
109,540,336,213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110,545,328,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111,550,320,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
112,555,320,186,-1,-1,-1,-1,168,224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
113,560,304,170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,565,312,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,570,312,154,192,325,168,325,-1,-1,-1,-1,216,325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
116,575,312,149,192,325,176,325,-1,-1,-1,-1,216,325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
117,580,312,138,200,320,176,320,-1,-1,-1,-1,216,320,232,346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
118,585,304,138,200,320,184,320,168,336,-1,-1,216,320,232,341,-1,-1,200,357,184,357,-1,-1,-1,-1,216,362,-1,-1,-1,-1
119,590,304,138,208,320,184,320,176,341,-1,-1,224,320,240,346,-1,-1,200,362,184,362,-1,-1,-1,-1,216,362,-1,-1,-1,-1
120,595,192,298,208,314,184,314,176,336,-1,-1,224,314,240,341,-1,-1,208,362,192,357,-1,-1,-1,-1,224,362,-1,-1,-1,-1
121,600,312,138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
122,605,312,138,208,314,192,314,184,336,472,410,232,314,248,341,480,410,-1,-1,200,357,-1,-1,-1,-1,224,362,-1,-1,-1,-1
123,610,312,138,216,314,192,314,-1,-1,-1,-1,232,314,240,341,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
124,615,320,138,208,320,-1,-1,184,192,-1,-1,224,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
125,620,-1,-1,-1,-1,-1,-1,176,208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
126,625,312,144,-1,-1,-1,-1,168,213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
127,630,-1,-1,-1,-1,-1,-1,160,213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
128,635,312,154,-1,-1,-1,-1,160,218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
129,640,312,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
130,645,312,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
131,650,320,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
132,655,320,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
133,660,320,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
134,665,320,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
135,670,320,144,-1,-1,-1,-1,176,224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
136,675,320,144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
137,680,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
138,685,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
139,690,328,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
140,695,344,133,360,170,328,170,304,149,336,133,392,176,400,218,392,261,360,245,336,245,336,298,336,394,376,245,368,304,384,389
141,700,344,133,360,170,328,170,304,149,336,133,392,176,400,218,392,261,360,245,336,245,336,298,336,394,376,245,368,304,384,389
142,705,352,133,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,336,394,376,245,368,304,384,389
143,710,352,133,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,336,394,376,245,368,298,384,394
144,715,352,133,360,170,328,170,304,149,336,133,392,176,400,218,400,261,352,245,336,245,336,298,336,394,376,245,368,304,384,394
145,720,344,133,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,304,-1,-1,376,250,376,309,384,389
146,725,344,133,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,304,-1,-1,376,245,376,314,384,389
147,730,344,133,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,304,-1,-1,376,245,376,309,384,389
148,735,352,133,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,384,389,376,245,376,309,384,389
149,740,344,133,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,344,304,-1,-1,376,245,376,309,384,389
150,745,344,133,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,304,336,389,376,245,376,314,384,389
151,750,352,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,304,336,389,376,245,376,314,384,389
152,755,352,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,344,304,336,389,376,245,376,309,376,389
153,760,344,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,336,389,376,245,368,304,376,362
154,765,344,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,-1,-1,376,245,368,309,376,362
155,770,344,133,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,336,389,376,245,368,309,384,362
156,775,344,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,304,-1,-1,376,245,368,309,384,362
157,780,344,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,304,-1,-1,376,245,368,309,384,362
158,785,344,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,304,-1,-1,376,245,376,314,384,368
159,790,344,133,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,250,336,250,336,304,336,389,376,250,368,314,384,389
160,795,344,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,304,336,389,376,250,368,314,384,362
161,800,352,138,360,170,328,170,304,149,336,133,392,176,400,218,392,261,360,245,336,245,336,298,336,389,376,245,368,309,384,362
162,805,352,138,360,170,328,170,304,149,336,133,392,176,400,218,392,261,360,245,336,245,336,298,336,394,376,245,368,298,384,394
163,810,344,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,336,394,376,245,368,304,384,394
164,815,352,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,336,341,376,245,368,298,384,394
165,820,344,138,360,170,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,293,336,394,376,245,376,298,384,394
166,825,344,138,360,176,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,336,341,376,245,376,298,384,394
167,830,344,138,360,176,328,170,304,149,336,133,392,176,400,218,400,261,360,245,336,245,336,298,336,394,376,245,376,304,384,389
