,fpc,0.x,0.y,1.x,1.y,2.x,2.y,3.x,3.y,4.x,4.y,5.x,5.y,6.x,6.y,7.x,7.y,8.x,8.y,9.x,9.y,10.x,10.y,11.x,11.y,12.x,12.y,13.x,13.y,14.x,14.y
123,610,424,160,400,197,368,197,320,202,280,202,424,197,472,186,520,181,400,293,376,293,336,341,280,378,424,288,480,304,488,378
124,615,424,160,400,197,368,197,320,202,280,202,424,197,472,186,520,181,400,293,376,293,328,341,280,378,424,288,480,304,488,378
125,620,424,160,400,197,368,197,320,202,280,197,424,192,472,186,520,181,400,293,376,293,336,341,280,378,424,288,480,304,488,378
126,625,424,160,400,197,368,197,328,202,280,197,424,192,472,186,520,181,400,293,376,293,336,336,280,378,424,288,480,304,488,378
127,630,424,160,400,197,376,197,328,202,280,197,432,192,472,186,520,181,400,293,376,293,336,336,280,378,424,288,480,304,488,378
128,635,424,160,400,197,368,197,328,202,280,197,432,192,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
129,640,424,160,400,192,368,197,320,202,280,197,432,192,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
130,645,424,160,400,192,368,197,320,202,280,197,432,192,472,186,520,181,400,293,376,293,336,336,280,378,424,288,480,304,488,378
131,650,424,160,400,192,368,197,320,202,280,197,432,192,472,186,520,181,400,293,376,293,336,336,280,378,424,288,480,304,488,378
132,655,424,160,400,192,368,197,320,202,280,197,432,192,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
133,660,424,160,400,192,376,197,320,202,280,197,432,192,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
134,665,424,160,400,192,376,197,328,202,280,197,432,192,472,186,520,181,400,288,376,293,336,341,280,378,424,288,480,304,488,378
135,670,424,160,400,192,376,192,320,202,280,197,432,192,472,186,520,181,400,288,376,293,336,341,280,378,424,288,480,304,488,378
136,675,424,160,400,192,368,197,320,202,280,197,432,192,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
137,680,424,160,400,197,376,197,328,202,280,197,432,197,472,186,520,181,400,293,376,293,336,336,280,378,424,288,480,304,488,378
138,685,424,160,400,197,376,197,328,202,280,197,432,197,472,186,520,181,400,288,384,293,336,336,280,378,424,288,480,304,488,378
139,690,424,160,400,197,376,197,328,202,280,202,424,197,472,192,520,181,400,288,384,293,336,336,280,378,424,288,480,304,488,378
140,695,424,160,400,197,376,197,328,202,280,202,424,197,472,186,520,181,400,288,384,293,336,336,280,378,424,288,480,304,488,378
141,700,424,160,400,197,376,197,328,202,280,202,432,197,472,192,520,181,400,288,384,293,336,336,280,378,424,288,480,304,488,378
142,705,424,160,400,197,376,197,328,202,280,197,432,197,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
